
% frame   10000
% time 999.901
% report fiber:force
% identity      posX      posY    forceX    forceY   tension
%   fiber f1:0001
        17     1.632    -1.406     0.000     0.000     0.016
        17     1.603    -1.310     0.000     0.000     0.025
        17     1.574    -1.215    -0.004    -0.008     0.039
        17     1.545    -1.119    -0.067     0.043    -0.013
        17     1.516    -1.023    -0.029    -0.012    -0.002
        17     1.487    -0.928    -0.013     0.042    -0.038
        17     1.458    -0.832     0.023     0.054    -0.075
        17     1.429    -0.736     0.108    -0.010    -0.025
        17     1.400    -0.641     0.029    -0.010     0.001
        17     1.371    -0.545     0.028     0.018     0.000
%   fiber f1:0018
        18     1.213     0.218    -0.028    -0.041     0.008
        18     1.184     0.314    -0.027     0.021    -0.043
        18     1.154     0.409     0.002    -0.018    -0.048
        18     1.125     0.505    -0.022    -0.014    -0.064
        18     1.095     0.600    -0.096    -0.091    -0.028
        18     1.066     0.696     0.081    -0.100     0.069
        18     1.037     0.792     0.009     0.002     0.047
        18     1.007     0.887     0.009    -0.008     0.035
        18     0.978     0.983     0.007    -0.026     0.040
        18     0.948     1.078    -0.031    -0.008     0.016
        18     0.919     1.174    -0.007    -0.009     0.000
%   fiber f1:0019
        19     0.754     1.712     0.001     0.017    -0.019
        19     0.721     1.806     0.021    -0.021     0.005
        19     0.688     1.900    -0.034    -0.004    -0.007
        19     0.656     1.995     0.018    -0.019     0.014
        19     0.623     2.089    -0.044     0.015    -0.017
        19     0.590     2.184    -0.002    -0.018    -0.004
        19     0.557     2.278    -0.105    -0.081     0.035
        19     0.524     2.373    -0.020    -0.003     0.028
        19     0.492     2.467    -0.001     0.000     0.024
        19     0.459     2.562    -0.020     0.017    -0.002
        19     0.426     2.656     0.023     0.002     0.000
%   fiber f1:0020
        20     2.245    -2.589     0.000     0.000    -0.010
        20     2.197    -2.501    -0.004    -0.005    -0.017
        20     2.150    -2.413    -0.009    -0.026    -0.008
        20     2.102    -2.325    -0.009     0.013    -0.033
        20     2.054    -2.237     0.047     0.014    -0.033
        20     2.007    -2.149     0.063    -0.020     0.005
        20     1.959    -2.061    -0.033    -0.091     0.059
        20     1.911    -1.974    -0.009     0.003     0.043
        20     1.864    -1.886     0.004    -0.001     0.036
        20     1.816    -1.798    -0.023    -0.008     0.022
        20     1.768    -1.710    -0.027     0.000     0.000
%   fiber f1:0021
        21     1.688    -1.570     0.017     0.002     0.014
        21     1.738    -1.657     0.022    -0.052    -0.022
        21     1.788    -1.743     0.051    -0.023    -0.047
        21     1.838    -1.830     0.009     0.005    -0.027
        21     1.888    -1.916    -0.000     0.010     0.002
        21     1.939    -2.003     0.009    -0.047    -0.023
        21     1.989    -2.090     0.025    -0.035    -0.045
        21     2.039    -2.176     0.007     0.001    -0.028
        21     2.089    -2.263     0.052    -0.033    -0.062
        21     2.139    -2.349     0.025     0.025    -0.032
        21     2.189    -2.436    -0.006     0.010     0.000
%   fiber f1:0022
        22     0.591     2.204    -0.025     0.007    -0.020
        22     0.550     2.296     0.002    -0.057     0.029
        22     0.509     2.387    -0.023     0.018    -0.001
        22     0.468     2.478    -0.049     0.005    -0.029
        22     0.427     2.569     0.000     0.000    -0.033
        22     0.386     2.660     0.019    -0.018    -0.011
        22     0.345     2.751     0.003    -0.023     0.007
        22     0.304     2.843     0.018     0.025    -0.012
        22     0.263     2.934     0.021    -0.015     0.007
        22     0.222     3.025     0.000     0.000     0.004
        22     0.180     3.116     0.000     0.000     0.000
%   fiber f1:0023
        23     1.791    -1.829     0.001     0.028    -0.019
        23     1.757    -1.735    -0.023     0.058    -0.075
        23     1.723    -1.641     0.000     0.000    -0.068
        23     1.690    -1.546     0.000     0.000    -0.061
        23     1.656    -1.452     0.000     0.000    -0.054
        23     1.623    -1.358     0.000     0.000    -0.047
        23     1.589    -1.264    -0.033     0.010    -0.061
        23     1.556    -1.169     0.020    -0.011    -0.037
        23     1.522    -1.075    -0.041    -0.006    -0.038
        23     1.489    -0.981    -0.005    -0.006    -0.027
        23     1.455    -0.887     0.034    -0.009     0.000
%   fiber f1:0024
        24     0.270     2.953     0.000     0.000     0.004
        24     0.309     2.861     0.027     0.003     0.001
